name,wc,n_fights,tier_label,tier_score,best_rank,ever_champion,max_defenses,dual_weight_champ,is_incumbent,win_rate,reach_cm,ko_rate,sig_per_r,sig_acc,str_def,leg_pct,clinch_pct,body_per_r,td_per_r,td_avg_acc,td_def,sub_rate,ctrl_per_r,gnp_per_r,pct_reach,pct_striking_power,pct_striking_volume,pct_striking_accuracy,pct_striking_defense,pct_leg_kicks,pct_clinch,pct_body,pct_td_frequency,pct_td_accuracy,pct_td_defense,pct_submission,pct_control,pct_ground_pound,x,y,z
Aaron Riley,Lightweight,9,E,11,,False,0.0,False,False,0.6818181818181818,175.26,0.0,15.7,0.3473,0.609,0.2389,0.3248,4.6,0.4,34.0,0.6071,0.0,55.75,1.1,1.76,2.21,5.85,1.6,8.36,8.38,9.58,8.26,5.84,4.58,4.96,3.07,6.03,3.58,0.103,-1.612,0.0745
Aaron Simpson,Middleweight,11,E,12,,False,0.0,False,False,0.7058823529411765,185.42,0.1818,16.2143,0.5279,0.5616,0.2291,0.4053,3.4642857142857144,1.1429,34.0,0.8333,0.0,114.5,3.7857,2.96,6.31,6.15,8.61,6.13,8.13,9.87,6.52,9.51,4.58,9.07,3.07,9.35,8.83,0.6619,-0.7898,1.5525
Abdul Razak Alhassan,Middleweight,14,E,12,,False,0.0,False,False,0.631578947368421,185.42,0.4286,13.125,0.4984,0.5492,0.1016,0.1651,1.5,0.2083,33.0,0.5091,0.0,32.125,1.9583,2.96,9.46,4.23,7.5,5.49,3.38,7.13,2.38,3.62,4.25,3.46,3.07,3.56,5.98,-0.9528,0.7554,-1.167
Abel Trujillo,Lightweight,11,E,11,,False,0.0,False,False,0.6521739130434783,177.8,0.2727,11.375,0.4124,0.5966,0.0696,0.2308,2.4583333333333335,0.625,45.0,0.4035,0.0909,47.2917,2.7083,2.99,7.98,3.17,3.5,7.93,2.1,8.65,4.48,7.66,7.18,2.29,5.95,5.27,7.57,0.4991,0.4713,-0.8863
Abus Magomedov,Middleweight,7,D,35,14.0,False,0.0,False,False,0.8235294117647058,198.12,0.1429,13.4706,0.4935,0.5586,0.1266,0.0306,4.117647058823529,0.7647,57.0,1.0,0.1429,69.0588,1.4118,8.82,5.23,4.44,7.33,5.97,4.54,1.42,7.69,8.33,8.95,9.9,7.04,7.11,4.41,-0.2553,-0.1297,-0.343
Adam Fugitt,Welterweight,6,E,10,,False,0.0,False,False,0.6666666666666666,195.58,0.1667,20.3636,0.4676,0.5139,0.1652,0.0759,8.454545454545455,0.4545,25.0,0.5,0.0,31.8182,0.5455,9.09,5.94,8.22,6.08,3.72,6.03,3.32,9.91,6.28,2.81,3.27,3.07,3.52,1.96,-0.9708,-0.7042,1.0987
Adrian Yanez,Bantamweight,10,D,36,12.0,False,0.0,False,False,0.7391304347826086,177.8,0.5,24.4,0.4146,0.5645,0.1352,0.0102,3.1,0.0,0.0,0.7333,0.0,6.2,1.8,7.28,9.67,9.32,3.61,6.31,4.87,1.06,5.8,1.29,1.28,7.59,3.07,1.22,5.57,-2.0311,1.9669,0.4131
Adriano Martins,Lightweight,7,E,11,,False,0.0,False,False,0.7567567567567568,182.88,0.2857,7.3571,0.4402,0.6842,0.3592,0.0,0.7857142857142857,0.2857,80.0,0.8571,0.1429,26.8571,0.5,6.44,8.17,1.46,4.77,9.88,9.8,1.01,1.29,4.65,9.79,9.28,7.04,3.04,1.86,-0.6337,0.8914,-2.0086
Aiemann Zahabi,Bantamweight,10,D+,45,6.0,False,0.0,False,False,0.8666666666666667,172.72,0.2,21.1538,0.4766,0.6916,0.1127,0.0382,3.5,0.0385,14.0,0.8387,0.0,12.8077,1.2308,4.34,6.75,8.56,6.55,9.92,3.9,1.64,6.6,1.62,1.74,9.16,3.07,1.65,3.93,-1.1449,-0.2433,-0.5493
Ailin Perez,Women's Bantamweight,7,C,48,5.0,False,0.0,False,False,0.8571428571428571,167.64,0.0,14.2222,0.5626,0.5652,0.1914,0.1719,3.111111111111111,1.6111,46.0,0.7273,0.1429,132.0,4.9444,3.14,2.21,4.97,9.34,6.34,7.0,7.34,5.83,9.91,7.38,7.48,7.04,9.67,9.4,1.5244,-0.5368,1.0622
