name,height_cm,weight_kg,reach_cm,stance,dob,splm,str_acc,sapm,str_def,td_avg,td_avg_acc,td_def,sub_avg,wins,losses,draws
AJ Cunningham,177.8,61.23,180.34,Orthodox,1994-09-07,4.22,29.0,6.31,48.0,0.0,0.0,46.0,0.5,11.0,5.0,0.0
AJ Dobson,185.42,83.91,193.04,Orthodox,1992-01-18,4.29,46.0,5.31,46.0,1.67,75.0,65.0,0.3,7.0,3.0,0.0
AJ Fletcher,177.8,77.11,170.18,Switch,1997-02-18,3.36,49.0,4.61,46.0,1.54,35.0,33.0,0.9,10.0,3.0,0.0
AJ Fonseca,162.56,65.77,,,,,,,,,,,,,,
AJ Matthews,180.34,83.91,,,,,,,,,,,,,,
AJ McKee,177.8,65.77,,,,,,,,,,,,,,
AJ Siscoe,170.18,61.23,,,,,,,,,,,,,,
Aalon Cruz,182.88,65.77,198.12,Switch,1989-09-20,7.58,39.0,8.88,58.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0
Aaron Brink,190.5,92.99,,Orthodox,1974-11-12,3.49,42.0,5.71,57.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0
Aaron Ely,172.72,61.23,,,1989-03-18,,,,,,,,,,,
Aaron Jeffery,187.96,83.91,185.42,Orthodox,1992-11-14,,,,,,,,,,,
Aaron Lanfranco,,70.31,,,1986-08-26,,,,,,,,,,,
Aaron Miller,175.26,65.77,,,,,,,,,,,,,,
Aaron Phillips,175.26,61.23,180.34,Southpaw,1989-08-05,1.51,53.0,3.66,43.0,0.86,50.0,44.0,0.6,12.0,5.0,0.0
Aaron Pico,172.72,65.77,177.8,Orthodox,1996-09-23,3.88,44.0,2.39,50.0,8.96,66.0,0.0,0.0,13.0,5.0,0.0
Aaron Riley,172.72,70.31,175.26,Southpaw,1980-12-09,3.45,34.0,3.78,61.0,1.18,34.0,60.0,0.1,30.0,14.0,1.0
Aaron Rosa,193.04,92.99,195.58,Orthodox,1983-05-28,4.03,47.0,4.41,45.0,0.36,33.0,85.0,0.4,18.0,6.0,0.0
Aaron Simpson,182.88,77.11,185.42,Orthodox,1974-07-20,3.6,52.0,2.53,56.0,3.78,34.0,83.0,0.5,12.0,5.0,0.0
Aaron Tau,162.56,56.7,167.64,Switch,1993-08-21,,,,,,,,,,,
Aaron Trujillo,165.1,56.7,,,,,,,,,,,,,,
Aaron Wetherspoon,,77.11,,,,,,,,,,,,,,
Aaron Wilkinson,177.8,70.31,,Orthodox,1987-01-31,0.0,0.0,0.0,100.0,7.32,100.0,0.0,0.0,11.0,7.0,0.0
Abdellah Er-Ramy,182.88,83.91,187.96,Orthodox,1996-09-19,,,,,,,,,,,
Abdul Azeem Badakhshi,,65.77,,,,,,,,,,,,,,
Abdul Rakhman Yakhyaev,187.96,92.99,198.12,Orthodox,2001-01-03,,,,,,,,,,,
Abdul Razak Alhassan,177.8,83.91,185.42,Orthodox,1985-08-11,3.64,49.0,4.01,54.0,0.84,33.0,51.0,0.2,12.0,7.0,0.0
Abdul-Kareem Al-Selwady,172.72,70.31,175.26,Orthodox,1995-04-10,4.14,34.0,3.6,59.0,2.32,30.0,20.0,0.0,15.0,4.0,0.0
Abdul-Kerim Edilov,187.96,92.99,,Orthodox,1991-11-25,10.22,61.0,0.13,92.0,3.98,100.0,0.0,2.0,17.0,4.0,0.0
Abel Cullum,170.18,63.05,,Orthodox,1987-04-21,,,,,,,,,,,
Abel Trujillo,172.72,70.31,177.8,Orthodox,1983-09-18,2.65,41.0,2.31,59.0,2.18,45.0,40.0,0.4,15.0,8.0,0.0
Abner Lloveras,180.34,70.31,,,1982-09-04,6.27,49.0,6.87,43.0,2.0,20.0,0.0,0.0,20.0,9.0,1.0
Abongo Humphrey,180.34,92.99,,Orthodox,,,,,,,,,,,,
Abram Torres,177.8,77.11,,,1982-10-29,,,,,,,,,,,
Abu Azaitar,175.26,83.91,193.04,Orthodox,1986-03-10,4.38,43.0,4.32,51.0,1.0,37.0,42.0,0.0,14.0,4.0,1.0
Abubakar Nurmagomedov,180.34,77.11,182.88,Orthodox,1989-11-13,2.78,53.0,2.61,65.0,1.25,22.0,88.0,0.0,17.0,4.0,1.0
