champion,wc,tier_label,title_year,meta_score_pct,title_fights_won,radius,n_reigns
Quinton Jackson,Light Heavyweight,B+,2007,69.1822412864877,2,11.7,1
Sean Sherk,Welterweight,B+,2007,33.833491181354105,2,11.7,1
Matt Serra,Welterweight,B,2007,53.09352568815662,1,10.0,1
Randy Couture,Light Heavyweight,A+,2008,25.819864957851742,9,18.0,6
Forrest Griffin,Light Heavyweight,B,2008,78.39705629402373,1,10.0,1
Rashad Evans,Light Heavyweight,B,2009,52.76606689926157,1,10.0,1
Brock Lesnar,Heavyweight,B+,2009,13.490944356635584,3,12.9,1
Lyoto Machida,Light Heavyweight,B+,2009,75.19877173359446,2,11.7,1
Anderson Silva,Middleweight,S,2010,80.05769597801738,11,19.3,1
Georges St-Pierre,Welterweight,S,2011,37.60805290847365,13,20.4,4
Frankie Edgar,Featherweight,A,2011,64.19769835798131,4,14.0,1
Benson Henderson,Lightweight,A,2012,59.518143103127464,4,14.0,1
Dominick Cruz,Bantamweight,B+,2012,80.80206615675188,5,14.9,2
Carlos Condit,Welterweight,B,2012,83.03168372440834,1,10.0,1
Jon Jones,Light Heavyweight,S,2013,62.461702295056156,16,22.0,4
Anthony Pettis,Lightweight,B+,2014,87.21320824237687,2,11.7,1
Cain Velasquez,Heavyweight,B+,2014,24.545971907645253,4,14.0,2
Johny Hendricks,Welterweight,B,2014,54.85184110676311,1,10.0,1
Chris Weidman,Middleweight,A,2014,56.710549880966695,4,14.0,1
Robbie Lawler,Welterweight,B+,2015,76.29262260719078,3,12.9,1
Demetrious Johnson,Bantamweight,S,2015,46.93172027340402,12,19.9,1
Holly Holm,Women's Bantamweight,B,2016,77.91115967939214,1,10.0,1
Eddie Alvarez,Lightweight,B,2016,72.41100955873101,1,10.0,1
Luke Rockhold,Middleweight,B,2016,65.44124390901312,1,10.0,1
Miesha Tate,Women's Bantamweight,B,2016,61.43097119541857,1,10.0,1
Daniel Cormier,Light Heavyweight,S,2017,57.65251780286332,6,15.8,2
Conor McGregor,Featherweight,B,2017,81.6094622621965,3,12.9,3
Tyron Woodley,Welterweight,A,2017,64.54608619264653,5,14.9,1
Cody Garbrandt,Bantamweight,B,2017,88.79317966209557,1,10.0,1
Michael Bisping,Middleweight,B+,2017,82.93515019623611,2,11.7,1
Stipe Miocic,Heavyweight,A,2017,67.42461414588593,6,15.8,2
Robert Whittaker,Middleweight,B,2018,88.04685435947263,2,11.7,2
Rose Namajunas,Women's Flyweight,B+,2018,78.29188593711174,4,14.0,2
Tony Ferguson,Lightweight,B,2018,94.83617172532095,1,10.0,1
Max Holloway,Featherweight,A,2018,92.61030579605645,5,14.9,2
Colby Covington,Welterweight,B,2018,56.048832007599444,1,10.0,1
Dustin Poirier,Lightweight,B,2019,75.36613062610633,1,10.0,1
Khabib Nurmagomedov,Lightweight,A,2019,20.95418003414873,4,14.0,1
Henry Cejudo,Flyweight,A,2019,66.69265077732506,4,14.0,2
Amanda Nunes,Women's Bantamweight,A+,2019,58.600701880699766,8,17.3,2
Petr Yan,Bantamweight,B,2020,72.74548104272279,3,12.9,3
Justin Gaethje,Lightweight,B,2020,89.2985017108548,2,11.7,2
Kamaru Usman,Welterweight,A+,2020,44.70346478719277,6,15.8,1
Brandon Moreno,Flyweight,B,2021,81.58082645707586,3,12.9,3
Valentina Shevchenko,Women's Bantamweight,A+,2021,59.678143822755125,11,19.3,2
Israel Adesanya,Middleweight,A+,2021,97.1189529620086,8,17.3,3
Charles Oliveira,Lightweight,B+,2021,56.19271433766664,2,11.7,1
Ciryl Gane,Heavyweight,B,2021,90.32304290793927,1,10.0,1
Francis Ngannou,Heavyweight,B+,2022,74.4741849623174,2,11.7,1
Glover Teixeira,Light Heavyweight,B,2022,51.681859033317934,1,10.0,1
Deiveson Figueiredo,Bantamweight,B+,2022,73.66439941147244,4,14.0,2
Carla Esparza,Women's Strawweight,B,2022,48.6691179047323,2,11.7,2
Aljamain Sterling,Bantamweight,A,2022,56.72838483674231,4,14.0,1
Alexander Volkanovski,Featherweight,A+,2022,72.380537571494,8,17.3,2
Jamahal Hill,Light Heavyweight,B,2023,90.97819017800114,1,10.0,1
Sean Strickland,Middleweight,B,2023,91.97550248046252,2,11.7,2
Alexa Grasso,Women's Flyweight,B+,2023,85.53125477079817,2,11.7,1
Leon Edwards,Welterweight,B+,2023,73.41579410416338,3,12.9,1
Sean O'Malley,Bantamweight,B+,2024,98.76710499656609,2,11.7,1
Alex Pereira,Middleweight,S,2024,89.89518779522909,6,15.8,3
Islam Makhachev,Lightweight,S,2024,42.694715939745954,6,15.8,2
Ilia Topuria,Featherweight,A,2024,73.6561221035928,3,12.9,2
Belal Muhammad,Welterweight,B,2024,75.20587408542059,1,10.0,1
Alexandre Pantoja,Flyweight,A,2024,66.81894693690313,5,14.9,1
Raquel Pennington,Women's Bantamweight,B,2024,64.4787373854299,1,10.0,1
Zhang Weili,Women's Strawweight,A,2024,56.494778842282564,6,15.8,2
Merab Dvalishvili,Bantamweight,A,2025,36.08186911562347,4,14.0,1
Magomed Ankalaev,Light Heavyweight,B,2025,70.27403145504523,1,10.0,1
Khamzat Chimaev,Middleweight,B,2025,31.670265937350305,1,10.0,1
Jack Della Maddalena,Welterweight,B,2025,91.1735811140417,1,10.0,1
Mackenzie Dern,Women's Strawweight,B,2026,69.57960051379817,1,10.0,1
Joshua Van,Flyweight,B+,2026,88.69430216430997,2,11.7,1
Carlos Ulberg,Light Heavyweight,B,2026,92.29301157595049,1,10.0,1
