year,n_fighters,meta_avg,meta_median,pct_striking,pct_grappling,pct_balanced
1998,11.0,62.315668594457286,62.99755087360257,81.81818181818183,9.090909090909092,9.090909090909092
1999,13.0,43.56033433465622,58.45863063915233,53.84615384615385,46.15384615384615,0.0
2000,21.0,44.79726051505246,40.998554333533924,38.095238095238095,52.38095238095239,9.523809523809524
2001,28.0,44.01207578166953,45.24706834476552,35.714285714285715,46.42857142857143,17.857142857142858
2002,33.0,47.335942403830735,46.10319046145302,39.39393939393939,42.42424242424242,18.181818181818183
2003,32.0,50.67581225484027,56.124281379478106,50.0,31.25,18.75
2004,30.0,51.502525922612485,62.51973836905985,53.333333333333336,30.0,16.666666666666664
2005,53.0,49.92146847439087,54.812895068835545,45.28301886792453,24.528301886792452,30.18867924528302
2006,90.0,54.15322620478375,55.58673989698347,48.888888888888886,17.77777777777778,33.33333333333333
2007,107.0,57.47364376464905,60.924158778704374,56.074766355140184,15.887850467289718,28.037383177570092
2008,128.0,56.81040731678398,61.282787781136584,58.59375,17.96875,23.4375
2009,153.0,56.322998111254975,60.61390905107906,55.55555555555556,20.26143790849673,24.18300653594771
2010,168.0,57.48474761811327,63.66555722561825,59.523809523809526,17.261904761904763,23.214285714285715
2011,222.0,62.409778103931956,65.43748975019409,65.76576576576578,12.612612612612612,21.62162162162162
2012,247.0,65.40383008242823,67.42461414588593,69.23076923076923,8.097165991902834,22.672064777327936
2013,305.0,66.16607978559178,67.03736449989367,71.80327868852459,6.229508196721312,21.9672131147541
2014,366.0,68.33077389988533,68.37954486548915,74.31693989071039,5.46448087431694,20.21857923497268
2015,383.0,68.04934613118607,69.81075095262862,74.67362924281984,5.7441253263707575,19.5822454308094
2016,399.0,68.58333245554799,72.41100955873101,76.69172932330827,5.764411027568922,17.543859649122805
2017,395.0,69.70423809995407,73.66439941147244,80.50632911392405,4.810126582278481,14.683544303797468
2018,427.0,70.8028443439882,75.19877173359446,82.20140515222482,3.747072599531616,14.05152224824356
2019,447.0,71.05654520645305,75.77109806998767,82.10290827740492,3.5794183445190155,14.317673378076062
2020,438.0,72.38680824744947,76.18468955812713,84.47488584474885,3.881278538812785,11.643835616438356
2021,460.0,73.3321377177231,76.57839491496006,84.34782608695653,3.0434782608695654,12.608695652173912
2022,458.0,73.23730335846952,76.32791351401431,83.84279475982532,4.366812227074235,11.790393013100436
2023,435.0,72.54615407365048,76.36320442083783,83.2183908045977,4.827586206896552,11.954022988505747
2024,403.0,73.87039800623401,77.15363096847709,84.863523573201,4.714640198511166,10.421836228287841
2025,342.0,73.45031763269998,76.75116936812873,83.91812865497076,4.678362573099415,11.403508771929824
2026,193.0,74.39549720692114,77.37984012508122,79.79274611398964,7.253886010362693,12.953367875647666
