fighter,wc,tier_label,tier_weight,ever_champion,win_rate,n_rounds,cluster,distance_ratio,clinch_ratio,ground_ratio,head_ratio,body_ratio,leg_ratio,str_accuracy,td_per_round,td_accuracy,ctrl_per_round,sub_per_round,kd_per_round,output_per_round
Aaron Riley,Lightweight,E,0.0,False,0.3333333333333333,20,1,0.6050955414012739,0.3248407643312102,0.07006369426751592,0.4681528662420382,0.2929936305732484,0.23885350318471338,0.3473451327433628,0.4,0.34782608695652173,55.75,0.05,0.0,45.2
Aaron Simpson,Middleweight,E,0.0,False,0.6363636363636364,28,1,0.36123348017621143,0.4052863436123348,0.23348017621145375,0.5572687224669604,0.21365638766519823,0.2290748898678414,0.5279069767441861,1.1428571428571428,0.34782608695652173,114.5,0.14285714285714285,0.21428571428571427,30.714285714285715
Abdul Razak Alhassan,Middleweight,E,0.0,False,0.38461538461538464,24,4,0.6857142857142857,0.16507936507936508,0.1492063492063492,0.7841269841269841,0.11428571428571428,0.10158730158730159,0.49841772151898733,0.20833333333333334,0.3333333333333333,32.125,0.041666666666666664,0.375,26.333333333333332
Abel Trujillo,Lightweight,E,0.0,False,0.5454545454545454,24,0,0.5311355311355311,0.23076923076923078,0.23809523809523808,0.7142857142857143,0.21611721611721613,0.0695970695970696,0.4123867069486405,0.625,0.45454545454545453,47.291666666666664,0.125,0.125,27.583333333333332
Abus Magomedov,Middleweight,D,1.0,False,0.5714285714285714,17,0,0.8646288209606987,0.03056768558951965,0.10480349344978165,0.5676855895196506,0.3056768558951965,0.12663755458515283,0.49353448275862066,0.7647058823529411,0.5909090909090909,69.05882352941177,0.11764705882352941,0.058823529411764705,27.294117647058822
Adrian Yanez,Bantamweight,D,1.0,False,0.6,20,2,0.9159836065573771,0.010245901639344262,0.07377049180327869,0.7377049180327869,0.12704918032786885,0.13524590163934427,0.41461342395921835,0.0,0.0,6.2,0.0,0.35,58.85
Aiemann Zahabi,Bantamweight,D+,0.0,False,0.8,26,2,0.9036363636363637,0.038181818181818185,0.05818181818181818,0.7218181818181818,0.16545454545454547,0.11272727272727273,0.47660311958405543,0.038461538461538464,0.14285714285714285,12.807692307692308,0.0,0.11538461538461539,44.38461538461539
Ailin Perez,Women's Bantamweight,C,0.0,False,0.8571428571428571,18,3,0.48046875,0.171875,0.34765625,0.58984375,0.21875,0.19140625,0.5626373626373626,1.6111111111111112,0.4915254237288136,132.0,0.05555555555555555,0.05555555555555555,25.27777777777778
Al Iaquinta,Lightweight,C,0.0,False,0.6,42,2,0.9237726098191215,0.040051679586563305,0.03617571059431524,0.6731266149870802,0.18733850129198967,0.13953488372093023,0.40544787847040337,0.19047619047619047,0.18604651162790697,16.261904761904763,0.07142857142857142,0.16666666666666666,45.45238095238095
Alan Belcher,Middleweight,D+,0.0,False,0.6428571428571429,31,1,0.6774193548387096,0.15591397849462366,0.16666666666666666,0.5672043010752689,0.1639784946236559,0.26881720430107525,0.4184476940382452,0.12903225806451613,0.26666666666666666,50.96774193548387,0.25806451612903225,0.0967741935483871,28.677419354838708
Alan Jouban,Welterweight,E,0.0,False,0.6153846153846154,27,4,0.8114630467571644,0.1297134238310709,0.058823529411764705,0.6003016591251885,0.2081447963800905,0.19155354449472098,0.5030349013657056,0.14814814814814814,0.4444444444444444,17.77777777777778,0.07407407407407407,0.3333333333333333,48.81481481481482
Alan Patrick,Lightweight,E,0.0,False,0.5,25,0,0.6698564593301436,0.11483253588516747,0.215311004784689,0.6076555023923444,0.2535885167464115,0.13875598086124402,0.4074074074074074,0.92,0.3333333333333333,101.24,0.08,0.04,20.52
Alatengheili,Bantamweight,E,0.0,False,0.5555555555555556,25,2,0.9558823529411765,0.0058823529411764705,0.03823529411764706,0.6558823529411765,0.2088235294117647,0.13529411764705881,0.3272377285851781,0.56,0.4375,41.04,0.0,0.04,41.56
