config,tiers,n,k,silhouette,champ_var,min_size,all_have_champ,composite
all_ranked,S+A++A+B++B+C+,220,8,0.1106,0.0173,16,True,0.5943
all_ranked,S+A++A+B++B+C+,220,7,0.1234,0.0118,18,True,0.5875
all_ranked,S+A++A+B++B+C+,220,5,0.1477,0.0074,23,True,0.584
all_ranked,S+A++A+B++B+C+,220,6,0.1263,0.009,22,True,0.5833
all_ranked,S+A++A+B++B+C+,220,4,0.1494,0.0066,26,True,0.583
champions_up,S+A++A+B++B,104,4,0.1415,0.0,16,True,0.5712
champions_up,S+A++A+B++B,104,5,0.1389,0.0,15,True,0.5708
all_ranked,S+A++A+B++B+C+,220,9,0.1026,0.015,12,True,0.5295
elite_only,S+A++A+B+,59,5,0.1503,0.0,9,True,0.4525
champions_up,S+A++A+B++B,104,6,0.1445,0.0,9,True,0.4517
champions_up,S+A++A+B++B,104,8,0.1265,0.0,8,True,0.429
elite_only,S+A++A+B+,59,4,0.1608,0.0,7,True,0.4141
champions_up,S+A++A+B++B,104,7,0.1365,0.0,7,True,0.4105
goat_tier,S+A++A,32,4,0.1721,0.0,5,True,0.3758
elite_only,S+A++A+B+,59,6,0.1452,0.0,5,True,0.3718
champions_up,S+A++A+B++B,104,9,0.1328,0.0,5,True,0.3699
elite_only,S+A++A+B+,59,8,0.1333,0.0,4,True,0.35
goat_tier,S+A++A,32,5,0.1479,0.0,3,True,0.3322
elite_only,S+A++A+B+,59,7,0.1283,0.0,3,True,0.3292
elite_only,S+A++A+B+,59,9,0.1381,0.0,2,True,0.3107
goat_tier,S+A++A,32,6,0.1664,0.0,1,True,0.295
