year,n_fighters,pct_striking,pct_grappling,pct_balanced,str_winrate,grp_winrate,winrate_diff,is_partial
2007,107,56.1,15.9,28.0,58.2,71.6,-13.4,False
2008,128,58.6,18.0,23.4,59.6,52.0,7.6,False
2009,153,55.6,20.3,24.2,58.0,64.9,-6.8,False
2010,168,59.5,17.3,23.2,54.4,69.6,-15.2,False
2011,222,65.8,12.6,21.6,58.1,63.1,-5.0,False
2012,247,69.2,8.1,22.7,56.8,67.4,-10.6,False
2013,305,71.8,6.2,22.0,55.8,80.3,-24.4,False
2014,366,74.3,5.5,20.2,57.9,70.7,-12.8,False
2015,383,74.7,5.7,19.6,57.0,65.6,-8.5,False
2016,399,76.7,5.8,17.5,56.1,58.5,-2.4,False
2017,395,80.5,4.8,14.7,55.0,44.6,10.4,False
2018,427,82.2,3.7,14.1,54.4,62.5,-8.1,False
2019,447,82.1,3.6,14.3,55.0,73.5,-18.5,False
2020,438,84.5,3.9,11.6,53.1,76.6,-23.5,False
2021,460,84.3,3.0,12.6,53.0,73.5,-20.5,False
2022,458,83.8,4.4,11.8,52.8,81.3,-28.5,False
2023,435,83.2,4.8,12.0,53.1,74.7,-21.7,False
2024,403,84.9,4.7,10.4,49.2,75.6,-26.4,False
2025,342,83.9,4.7,11.4,48.4,77.1,-28.7,False
2026,193,79.8,7.3,13.0,40.0,53.2,-13.2,True
